Source	Interaction	Target
Trp53	->	Tagln2
Trp53	->	Trp53
Rxrb	->	Adamtsl4
Rxrb	->	C2
Rxrb	->	Clcn5
Rxrb	->	Ergic2
Rxrb	->	Gramd1c
Rxrb	->	Ift46
Rxrb	->	Kptn
Rxrb	->	Plxnd1
Rxrb	->	Rxrb
Rxrb	->	Sh3tc2
Rxrb	->	Tm9sf4
Rxrb	->	Tmem116
Rxrb	->	Ubqln1
Rxrb	->	Zbtb40
Rxrb	->	Rxrb
Rxrb	->	Syp
Rxrb	->	Tmco4
Rxrb	->	5430421N21Rik
Rxrb	->	Armcx4
Rxrb	->	Fam3b
Rxrb	->	Nek4
Rxrb	->	Rab11fip2
Rxrb	->	Rai14
Rxrb	->	Rtn2
Rxrb	->	Rxrb
Rxrb	->	Sec14l2
Rxrb	->	Wnt10b
Rxrb	->	Cndp2
Rxrb	->	Cyb5r3
Rxrb	->	Ddah2
Rxrb	->	Dtnb
Rxrb	->	Fam162a
Rxrb	->	Gpbp1l1
Rxrb	->	Gstz1
Rxrb	->	Kras
Rxrb	->	Lgi4
Rxrb	->	Lmo4
Rxrb	->	Lysmd1
Rxrb	->	Mboat4
Rxrb	->	Mlst8
Rxrb	->	Mtmr14
Rxrb	->	Myo5b
Rxrb	->	Nodal
Rxrb	->	Ppfia1
Rxrb	->	Prkar2b
Rxrb	->	Rxrb
Rxrb	->	Tm9sf3
Rxrb	->	Trim45
Rxrb	->	Ttc30a1
Rxrb	->	Ubox5
Rxrb	->	Zmat1
Rfx2	->	Brms1
Rfx2	->	D130020L05Rik
Rfx2	->	E4f1
Rfx2	->	Lrrc51
Rfx2	->	Mfsd11
Rfx2	->	Rfx2
Rfx2	->	Smad4
Rfx2	->	Ubqln2
Rfx2	->	2610524H06Rik
Rfx2	->	Erf
Rfx2	->	Fam46a
Rfx2	->	Mrpl10
Rfx2	->	Pkd1l2
Rfx2	->	Polg
Rfx2	->	Rfx2
Rfx2	->	Srl
Rfx2	->	Ankrd35
Rfx2	->	Arid3a
Rfx2	->	Atf3
Rfx2	->	Crmp1
Rfx2	->	Dcaf6
Rfx2	->	Foxk2
Rfx2	->	Glt8d1
Rfx2	->	Itgax
