Source	Interaction	Target
Klf2	->	Rasgrp2
Klf2	->	Rom1
Klf2	->	S100a10
Klf2	->	S1pr1
Klf2	->	S1pr4
Klf2	->	Selplg
Klf2	->	Sh3d19
Klf2	->	Sike1
Klf2	->	Skap1
Klf2	->	Slc41a2
Klf2	->	Sp4
Klf2	->	Spata13
Klf2	->	Stard10
Klf2	->	Stmn1
Klf2	->	Syf2
Klf2	->	Thap3
Klf2	->	Tmem50a
Klf2	->	Tnfaip8l2
Klf2	->	Tpst2
Klf2	->	Tpx2
Klf2	->	Tuba1a
Klf2	->	Tubb3
Klf2	->	Txk
Klf2	->	Ubl7
Klf2	->	Vim
Klf2	->	Wasf2
Klf2	->	Wbp2
Klf2	->	Ythdc1
Klf2	->	Zeb2
Klf2	->	1500009L16Rik
Klf2	->	Actg1
Klf2	->	Ada
Klf2	->	Add1
Klf2	->	Add3
Klf2	->	Adrbk1
Klf2	->	Agpat4
Klf2	->	Ahnak
Klf2	->	Anxa2
Klf2	->	Arid3c
Klf2	->	Arl4a
Klf2	->	Arl6ip1
Klf2	->	Asf1b
Klf2	->	Calm1
Klf2	->	Capg
Klf2	->	Ccnd3
Klf2	->	Cd40
Klf2	->	Cdc42se1
Klf2	->	Cenpw
Klf2	->	Ckap2l
Klf2	->	Cmtm7
Klf2	->	Cnn2
Klf2	->	Col15a1
Klf2	->	Crebl2
Klf2	->	Crip1
Klf2	->	Cuta
Klf2	->	Cyb561d2
Klf2	->	Cyth4
Klf2	->	Def6
Klf2	->	Dhx40
Klf2	->	Dkkl1
Klf2	->	E2f2
Klf2	->	Egflam
Klf2	->	Ehbp1l1
Klf2	->	Emp3
Klf2	->	Fdft1
Klf2	->	Fkbp2
Klf2	->	Fkbp5
Klf2	->	Flna
Klf2	->	Fmnl1
Klf2	->	Gna15
Klf2	->	Gnai2
Klf2	->	Gnb2
Klf2	->	Grk6
Klf2	->	H2-Oa
Klf2	->	H2-Q10
Klf2	->	Hadh
Klf2	->	Hmgb2
Klf2	->	Hmha1
Klf2	->	Hsp90b1
Klf2	->	Il2rb
Klf2	->	Itga4
Klf2	->	Itgb7
Klf2	->	Kcnab2
Klf2	->	Kcnn4
Klf2	->	Kcp
Klf2	->	Kif21b
Klf2	->	Kras
Klf2	->	Lgals1
Klf2	->	Lpl
Klf2	->	Lrrfip1
Klf2	->	Lsp1
Klf2	->	Lypd1
Klf2	->	Mex3c
Klf2	->	Mical1
Klf2	->	Mki67
Klf2	->	Mxd3
Klf2	->	Nhsl2
Klf2	->	Nrm
Klf2	->	Osbpl9
Klf2	->	Pag1
Klf2	->	Paqr8
Klf2	->	Pde5a
Klf2	->	Plec
Klf2	->	Prex1
Klf2	->	Prr5
Klf2	->	Psip1
Klf2	->	Ptov1
Klf2	->	Pycard
Klf2	->	Rab8a
Klf2	->	Racgap1
Klf2	->	Rasa3
Klf2	->	Rasgrp2
Klf2	->	Rassf4
Klf2	->	Rcsd1
Klf2	->	S100a10
Klf2	->	S100a4
Klf2	->	S1pr1
Klf2	->	Selplg
Klf2	->	Sfn
Klf2	->	Sgk1
Klf2	->	Sike1
Klf2	->	Sla2
Klf2	->	Slc5a11
Klf2	->	Slc9a3r1
Klf2	->	Smchd1
Klf2	->	Spn
Klf2	->	Stard8
Klf2	->	Tagln2
Klf2	->	Tbc1d10c
Klf2	->	Tbx21
Klf2	->	Tmem173
Klf2	->	Tmem91
Klf2	->	Tmsb4x
Klf2	->	Tns3
Klf2	->	Tpst2
Klf2	->	Trpv2
Klf2	->	Tuba1a
Klf2	->	Tubb2b
Klf2	->	Tubb3
Klf2	->	Uhrf1
Klf2	->	Usp35
Klf2	->	Vim
Klf2	->	Wfikkn1
Klf2	->	Ywhah
Klf2	->	Zbtb32
Klf2	->	1500009L16Rik
Klf2	->	Anp32a
Klf2	->	Dlx4
Klf2	->	Emp3
Klf2	->	Gnas
Klf2	->	Itgb7
Klf2	->	Jund
Klf2	->	Kcnn4
Klf2	->	Klf3
Klf2	->	Lgals1
Klf2	->	Lgals3
Klf2	->	Mtch1
Klf2	->	Nkg7
Klf2	->	Pycard
Klf2	->	Rac1
Klf2	->	Rasgrp2
Klf2	->	S100a10
Klf2	->	S1pr4
Klf2	->	Tmsb10
Tbx21	->	Abi3bp
Tbx21	->	Ahnak
Tbx21	->	Aldh18a1
Tbx21	->	Celf1
Tbx21	->	Col23a1
Tbx21	->	Daxx
Tbx21	->	Gnai2
Tbx21	->	Hsd11b1
Tbx21	->	Lgals9
Tbx21	->	Mlf1
Tbx21	->	Selplg
Tbx21	->	Slc1a5
Tbx21	->	Srf
Tbx21	->	Tbx21
Tbx21	->	Trim62
Tbx21	->	Wdr38
Tbx21	->	Zbtb32
Tbx21	->	Aagab
Tbx21	->	Ap3s1
Tbx21	->	Atad2
Tbx21	->	Cpeb4
Tbx21	->	Esm1
Tbx21	->	Gzma
Tbx21	->	Habp4
Tbx21	->	Itgb2
Tbx21	->	Klrg1
Tbx21	->	Nkg7
Tbx21	->	P2rx7
Tbx21	->	Reep5
Tbx21	->	St3gal4
Tbx21	->	Tbx21
Tbx21	->	Usp12
Tbx21	->	Wscd2
Tbx21	->	Zeb2
Tbx21	->	1500009L16Rik
Tbx21	->	Crb3
Tbx21	->	Fam122a
Tbx21	->	Phb2
Tbx21	->	Ptrh2
Tbx21	->	Zadh2
Tbx21	->	Znhit3
Tbx21	->	As3mt
Tbx21	->	Gadd45g
Tbx21	->	Sema3b
Tbx21	->	Uhrf1
Tbx21	->	Acsl5
Tbx21	->	Cd48
Tbx21	->	Cd69
Tbx21	->	Clk2
Tbx21	->	Ctdspl2
Tbx21	->	Ehhadh
Tbx21	->	Glipr2
Tbx21	->	Kdelc2
Tbx21	->	Klrg1
Tbx21	->	Lgals1
Tbx21	->	Med15
Tbx21	->	Nol12
Tbx21	->	Ovol2
Tbx21	->	Ppp1r14c
Tbx21	->	Pycard
Tbx21	->	Rps6ka3
Tbx21	->	Rrm2
Tbx21	->	Snx10
Tbx21	->	Tbx21
Tbx21	->	Tuba1a
Tbx21	->	Zfp467
Klf6	->	Acta1
Klf6	->	Ahnak
Klf6	->	Anxa6
Klf6	->	Apbb1ip
Klf6	->	Atg16l2
Klf6	->	Atp1b3
Klf6	->	Bcl2
Klf6	->	Bet1
Klf6	->	Casc5
Klf6	->	Cd247
Klf6	->	Cdc25b
Klf6	->	Cox17
Klf6	->	Cytip
Klf6	->	Dnajc15
Klf6	->	Eml2
Klf6	->	Ercc6l
Klf6	->	Glrx3
Klf6	->	Gpd1
Klf6	->	Gpsm3
Klf6	->	Gtf2i
Klf6	->	Hbs1l
Klf6	->	Klf6
Klf6	->	Lyrm7
Klf6	->	Mtmr7
Klf6	->	Ndufaf3
Klf6	->	Npy1r
Klf6	->	Pmm1
Klf6	->	Ppm1n
Klf6	->	Rasgrf2
Klf6	->	Rnaset2a
Klf6	->	Rps12
Klf6	->	S100a10
Klf6	->	S100a4
Klf6	->	Selplg
Klf6	->	Serinc3
Klf6	->	Sh3tc1
Klf6	->	Smap2
Klf6	->	Stk38
Klf6	->	Tagln2
Klf6	->	Tmem30b
Klf6	->	Zyx
Klf6	->	AB124611
Klf6	->	Arl5c
Klf6	->	Cnp
Klf6	->	Gapdh
Klf6	->	Gm2a
Klf6	->	Gramd3
Klf6	->	Itgb7
Klf6	->	Klf3
Klf6	->	Ltb4r1
Klf6	->	Nccrp1
Klf6	->	Plec
Klf6	->	Prkra
Klf6	->	Rnaset2a
Klf6	->	S100a4
Klf6	->	Tcf3
Klf6	->	Tpt1
Klf6	->	Zbtb32
Klf6	->	Anxa4
Klf6	->	Cep164
Klf6	->	Ier2
Klf6	->	Psmg1
Klf6	->	Fli1
Klf6	->	Grb7
Klf6	->	Mre11a
Klf6	->	Nlk
Klf6	->	Poldip3
Klf6	->	Sertad1
Klf6	->	Smc4
Klf6	->	Sun2
Klf6	->	Tap1
Klf6	->	Tshz3
Klf3	->	Ahnak
Klf3	->	Arl5c
Klf3	->	Fam189b
Klf3	->	Itgb7
Klf3	->	Klf3
Klf3	->	Malat1
Klf3	->	Nlgn2
Klf3	->	Rasgrp2
Klf3	->	S1pr4
Klf3	->	Selplg
Klf3	->	Slc4a7
Klf3	->	Tagln2
Klf3	->	Tob1
Klf3	->	1190005I06Rik
Klf3	->	Actn3
Klf3	->	Camk1d
Klf3	->	Cd44
Klf3	->	Cdc25b
Klf3	->	Clcn5
Klf3	->	Dapp1
Klf3	->	Itgb1
Klf3	->	Junb
Klf3	->	Kcnn4
Klf3	->	Klf3
Klf3	->	Kremen2
Klf3	->	Mycbp
Klf3	->	Myo1g
Klf3	->	Nr4a1
Klf3	->	Ovol2
Klf3	->	Plec
Klf3	->	S1pr1
Klf3	->	S1pr4
Klf3	->	Selplg
Klf3	->	Spn
Klf3	->	Tbc1d10a
Klf3	->	Triobp
Klf3	->	Trpv2
Klf3	->	Unc13b
Klf3	->	Zbtb32
Klf3	->	Klf3
Klf3	->	Ltb
Klf3	->	Myl6
Klf3	->	S1pr4
Klf3	->	Selplg
Klf3	->	Arl4c
Klf3	->	Cd37
Klf3	->	Emp3
Klf3	->	Fam65b
Klf3	->	Fosb
Klf3	->	Gna15
Klf3	->	Hp1bp3
Klf3	->	Itga4
Klf3	->	Klf3
Klf3	->	Pycard
Klf3	->	Rac2
Klf3	->	S1pr1
Klf3	->	S1pr4
Klf3	->	Selplg
Klf3	->	Spn
Klf3	->	Tob1
Klf3	->	Tubb3
Klf3	->	Caskin1
Klf3	->	Gpr179
Klf3	->	Klf3
Klf3	->	Lrfn5
Klf3	->	Mgst3
Klf3	->	Ncan
Klf3	->	Nol3
Klf3	->	Nrbp2
Klf3	->	Plxnb2
Klf3	->	Ptgir
Klf3	->	Srcin1
Klf3	->	1700020L24Rik
Klf3	->	Atp1b2
Klf3	->	Atp1b3
Klf3	->	Cyth4
Klf3	->	Ebf1
Klf3	->	Hsd11b1
Klf3	->	Il16
Klf3	->	Klf3
Klf3	->	Lfng
Klf3	->	Lrig1
Klf3	->	Ltbp3
Klf3	->	Selplg
Klf3	->	Sept6
Klf3	->	Sike1
Klf3	->	Spata13
Klf3	->	Tmem126b
Klf3	->	Tom1
Klf3	->	Wdr92
Klf3	->	Zdhhc1
Klf3	->	Zglp1
Jund	->	Myl6
Jund	->	Ppig
Jund	->	Rala
Jund	->	Trmt5
Jund	->	Dapp1
Jund	->	Junb
Jund	->	Mtch1
Jund	->	Nsmce4a
Jund	->	Patl2
Jund	->	Pitpna
Jund	->	Stk24
Jund	->	Tagln2
Jund	->	2810459M11Rik
Jund	->	Adrb1
Jund	->	Atp2b1
Jund	->	Atp2c1
Jund	->	Crem
Jund	->	Gnas
Jund	->	Il21r
Jund	->	Jund
Jund	->	Pak6
Jund	->	Pmvk
Jund	->	Prdx4
Jund	->	Rab11fip3
Jund	->	Rac1
Jund	->	Rai1
Jund	->	Spag6
Jund	->	Spef2
Jund	->	Taf10
Jund	->	Tmem38a
Jund	->	Bcl3
Jund	->	Chrna10
Jund	->	Gnb1
Jund	->	Gtf2f1
Jund	->	Luc7l2
Jund	->	Serpine1
Jund	->	Zbtb25
Jund	->	Jund
Jund	->	Kcnc3
Jund	->	Taf10
Tagln2	->	Acot7
Tagln2	->	Adprh
Tagln2	->	Anxa2
Tagln2	->	Anxa6
Tagln2	->	Arhgdia
Tagln2	->	Aspscr1
Tagln2	->	Atp2b1
Tagln2	->	Cables2
Tagln2	->	Calm1
Tagln2	->	Calr
Tagln2	->	Camk1
Tagln2	->	Ccdc53
Tagln2	->	Ccnd3
Tagln2	->	Cd82
Tagln2	->	Cldnd1
Tagln2	->	Cox5a
Tagln2	->	Crip1
Tagln2	->	Crip2
Tagln2	->	Cyth4
Tagln2	->	Dbnl
Tagln2	->	Dcst1
Tagln2	->	Dynll1
Tagln2	->	Edf1
Tagln2	->	Elavl1
Tagln2	->	Eps8l1
Tagln2	->	Ezr
Tagln2	->	Fam129a
Tagln2	->	Ggt1
Tagln2	->	Gna15
Tagln2	->	Gnb2
Tagln2	->	Hdac1
Tagln2	->	Hnrnpu
Tagln2	->	Idh3a
Tagln2	->	Jund
Tagln2	->	Ldha
Tagln2	->	Lgals1
Tagln2	->	Lsp1
Tagln2	->	Myl9
Tagln2	->	Ndufs2
Tagln2	->	Ndufv1
Tagln2	->	Pdcd1lg2
Tagln2	->	Plp2
Tagln2	->	Prkcz
Tagln2	->	Ptbp1
Tagln2	->	Rara
Tagln2	->	Rin3
Tagln2	->	Slc35e4
Tagln2	->	Slc38a2
Tagln2	->	Tagln2
Tagln2	->	Tax1bp1
Tagln2	->	Tppp3
Tagln2	->	Tpst2
Tagln2	->	Trabd
Tagln2	->	Trappc6b
Tagln2	->	Tub
Tagln2	->	Twf2
Tagln2	->	Ube2s
Tagln2	->	Ybey
Tagln2	->	Ywhab
Tagln2	->	Zmat5
Tagln2	->	Crip1
Tagln2	->	Lgals1
Tagln2	->	Lsp1
Tagln2	->	Tagln2
Tagln2	->	Zbtb32
Hmgb2	->	Actg1
Hmgb2	->	Anxa2
Hmgb2	->	Calm1
Hmgb2	->	Ccna2
Hmgb2	->	Coro1a
Hmgb2	->	Emp3
Hmgb2	->	Hmgb2
Hmgb2	->	Hmgn2
Hmgb2	->	Klf2
Hmgb2	->	Lsp1
Hmgb2	->	S100a10
Hmgb2	->	Tmsb4x
Hmgb2	->	Tuba1a
Hmgb2	->	Tubb5
Hmgb2	->	Ube2c
Hmgb2	->	Ube2s
Hmgb2	->	Vim
Hmgb2	->	1500009L16Rik
Hmgb2	->	Actg1
